23,17.014684,13.992804,8.733333,122.513294,0.938353,25.741373
19,18.187442,5.487243,4.773315,175.802781,2.707842,24.499638
41,16.639092,0.666811,-4.333333,178.150423,20.854529,27.122607
13,11.339571,6.280149,1.572637,70.142535,0.703802,61.574478
1,18.954033,4.771111,-6.834524,157.992606,19.91864,19.088752
24,16.191573,14.591113,8.733333,197.990041,13.974354,39.909874
32,12.735976,6.2728,-0.0,169.035637,14.78786,68.333333
2,14.729957,1.788218,-6.592956,163.704849,18.791823,45.352511
9,14.280553,8.158289,3.953607,37.942081,18.586825,43.766506
26,14.990292,7.083113,1.333744,75.904677,13.849127,81.48903
42,12.137933,6.323999,0.615687,70.460645,16.012553,85.190771
30,12.661543,7.955163,0.666667,80.170498,12.79403,77.195261
28,15.230446,1.4073,-4.343757,45.568587,14.980552,57.582662
37,15.085302,5.21569,4.6954,16.696563,12.429551,41.474575
35,14.716378,8.118869,1.70998,60.346905,10.946475,56.378662
29,13.074266,7.881066,0.737126,60.618858,14.787623,77.552926
10,11.034661,10.815699,4.225599,70.001165,15.606912,73.370584
14,12.609438,7.586974,0.718312,74.111905,15.523695,85.063702
15,18.371217,1.645462,-4.333333,185.921773,7.973052,27.122607
16,10.002052,0.953871,-4.788282,139.33344,1.089717,24.404275
22,19.447831,11.579706,8.554259,173.087718,4.159588,13.280303
25,17.992675,2.880425,-4.355487,105.536014,6.201071,41.894602
6,14.488171,9.589754,4.166508,27.25851,2.658911,28.001125
3,13.53279,8.097442,0.733333,66.812825,18.422887,75.441191
33,13.77814,9.901845,4.795896,147.728058,18.765959,36.753032
4,14.107792,9.683278,3.773222,17.990136,12.761988,47.078517
20,15.637701,11.45257,8.531563,197.782323,4.520872,13.287645
18,12.700682,6.725594,1.738791,163.079442,4.235229,36.254756
12,14.915804,8.905569,0.733333,67.994829,13.857434,80.222102
36,20.356882,7.800787,4.666667,133.283243,4.58615,28.115649
