23,17.014684,13.992804,8.733333,122.513294,0.938353,25.741373
19,18.187442,5.487243,4.773315,175.802781,2.707842,24.499638
41,16.639092,0.666811,-4.333333,178.150423,20.854529,27.122607
13,11.339571,6.280149,1.572637,70.142535,0.703802,61.574478
1,18.954033,4.771111,-6.834524,157.992606,19.91864,19.088752
24,16.191573,14.591113,8.733333,197.990041,13.974354,39.909874
32,12.735976,6.2728,-0.0,169.035637,14.78786,68.333333
2,14.729957,1.788218,-6.592956,163.704849,18.791823,45.352511
9,14.280553,8.158289,3.953607,37.942081,18.586825,43.766506
26,14.990292,7.083113,1.333744,75.904677,13.849127,81.48903
42,12.137933,6.323999,0.615687,70.460645,16.012553,85.190771
